Date,Site,HiLo,Transect,Quadrat,QuadName,Diver_invert,Diver_algae,Invert_percent,Invert_Biomass,DominantSp_1,DominantSp_2,substrate_1,substrate_1cov,substrate2,substrate2cov,substrate3,substrate3cov,Comments
11-Jul,Grainger_Pt,Hi,T3,Q10,Grainger_Pt_T3Q10,candice,joanne,60,18000,,,1,100,,,,,
11-Jul,Grainger_Pt,Hi,T3,Q30,Grainger_Pt_T3Q30,candice,joanne,20,30600,,,3,50,1,40,11,10,
11-Jul,Grainger_Pt,Hi,T3,Q50,Grainger_Pt_T3Q50,candice,joanne,30,30600,,,3,50,11,30,1,20,
12-Jul,Bedwell_Hbr,Lo,T1,Q10,Bedwell_Hbr_T1Q10,candice,sharon,20,20400,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T1,Q30,Bedwell_Hbr_T1Q30,candice,sharon,35,5250,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T1,Q50,Bedwell_Hbr_T1Q50,candice,sharon,25,25500,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q10,Bedwell_Hbr_T2Q10,sarah,jessica,40,4000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q30,Bedwell_Hbr_T2Q30,sarah,jessica,20,4000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T2,Q50,Bedwell_Hbr_T2Q50,sarah,jessica,50,10000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q10,Bedwell_Hbr_T3Q10,candice,sarah,10,1000,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q30,Bedwell_Hbr_T3Q30,candice,sarah,20,20500,,,2,100,,,,,
12-Jul,Bedwell_Hbr,Lo,T3,Q50,Bedwell_Hbr_T3Q50,candice,sarah,10,2000,,,2,80,10,20,,,
12-Jul,Blunden_It,Hi,T1,Q10,Blunden_It_T1Q10,sharon,jessica,50,10000,,,1,100,,,,,
12-Jul,Blunden_It,Hi,T1,Q30,Blunden_It_T1Q30,sharon,jessica,50,10000,,,1,100,,,,,
12-Jul,Blunden_It,Hi,T1,Q50,Blunden_It_T1Q50,sharon,jessica,70,21000,,,2,80,10,20,,,
12-Jul,Blunden_It,Hi,T2,Q10,Blunden_It_T2Q10,sarah,candice,60,6000,,,3,100,,,,,
12-Jul,Blunden_It,Hi,T2,Q30,Blunden_It_T2Q30,sarah,candice,50,5000,,,2,100,,,,,
12-Jul,Blunden_It,Hi,T2,Q50,Blunden_It_T2Q50,sarah,candice,80,16000,,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q10,Blunden_It_T3Q10,sharon,candice,70,27000,,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q30,Blunden_It_T3Q30,sharon,candice,20,23000,Dodecaceria fewksi,,2,100,,,,,
13-Jul,Blunden_It,Hi,T3,Q50,Blunden_It_T3Q50,sharon,candice,50,5000,,,2,80,4,10,10,10,
13-Jul,Conconi_Rf,Hi,T1,Q10,Conconi_Rf_T1Q10,candice,joanne,15,1500,,,2,100,,,,,
13-Jul,Conconi_Rf,Hi,T1,Q30,Conconi_Rf_T1Q30,candice,joanne,20,20000,,,2,90,10,10,,,
13-Jul,Conconi_Rf,Hi,T1,Q50,Conconi_Rf_T1Q50,candice,joanne,60,90000,,,1,40,2,30,10,30,
13-Jul,Conconi_Rf,Hi,T2,Q10,Conconi_Rf_T2Q10,sharon,jessica,40,8000,,,3,70,10,20,11,10,
13-Jul,Conconi_Rf,Hi,T2,Q30,Conconi_Rf_T2Q30,sharon,jessica,50,15000,,,3,90,10,10,,,
13-Jul,Conconi_Rf,Hi,T2,Q50,Conconi_Rf_T2Q50,sharon,jessica,80,32000,Balanus crenatus,,2,50,4,40,10,10,
13-Jul,Conconi_Rf,Hi,T3,Q10,Conconi_Rf_T3Q10,sarah,candice,20,3500,,,2,80,10,20,,,
13-Jul,Conconi_Rf,Hi,T3,Q30,Conconi_Rf_T3Q30,sarah,candice,70,13500,,,3,80,10,10,4,10,
13-Jul,Conconi_Rf,Hi,T3,Q50,Conconi_Rf_T3Q50,sarah,candice,40,20000,,,4,50,10,40,3,10,
14-Jul,Paddy_Mile,Lo,T3,Q10,Paddy_Mile_T3Q10,candice,jessica,80,16000,Balanus crenatus,,2,80,10,20,,,
14-Jul,Paddy_Mile,Lo,T3,Q30,Paddy_Mile_T3Q30,candice,jessica,70,21000,Balanus crenatus,,2,70,10,30,,,invert % and cm mostly dead barnacles
14-Jul,Paddy_Mile,Lo,T3,Q50,Paddy_Mile_T3Q50,candice,jessica,30,6000,,,2,90,7,10,,,
24-Jul,Miriams_Wed_Spot,Lo,T1,Q10,Miriams_Wed_Spot_T1Q10,sharon,jessica,40,4000,,,3,90,4,10,,,
24-Jul,Miriams_Wed_Spot,Lo,T1,Q30,Miriams_Wed_Spot_T1Q30,sharon,jessica,1,13000,,,2,100,,,,,lots dead barnacles
24-Jul,Miriams_Wed_Spot,Lo,T1,Q50,Miriams_Wed_Spot_T1Q50,sharon,jessica,5,9000,,,3,100,,,,,lots dead barnacles
24-Jul,Miriams_Wed_Spot,Lo,T2,Q10,Miriams_Wed_Spot_T2Q10,candice,joanne,20,1000,,,1,100,,,,,
24-Jul,Miriams_Wed_Spot,Lo,T2,Q30,Miriams_Wed_Spot_T2Q30,candice,joanne,30,1500,,,3,100,,,,,
24-Jul,Miriams_Wed_Spot,Lo,T2,Q50,Miriams_Wed_Spot_T2Q50,candice,joanne,20,1000,,,3,80,10,20,,,
24-Jul,Miriams_Wed_Spot,Lo,T3,Q10,Miriams_Wed_Spot_T3Q10,candice,joanne,40,2000,,,1,60,2,40,,,
24-Jul,Miriams_Wed_Spot,Lo,T3,Q30,Miriams_Wed_Spot_T3Q30,candice,joanne,30,1500,,,3,100,,,,,
24-Jul,Miriams_Wed_Spot,Lo,T3,Q50,Miriams_Wed_Spot_T3Q50,candice,joanne,30,1500,,,3,100,,,,,
25-Jul,Josef_Pt,Hi,T1,Q10,Josef_Pt_T1Q10,jessica,sharon,20,54000,Dodecaceria fewksi,,2,100,,,,,
25-Jul,Josef_Pt,Hi,T1,Q30,Josef_Pt_T1Q30,jessica,sharon,50,60000,Dodecaceria fewksi,,2,100,,,,,
25-Jul,Josef_Pt,Hi,T1,Q50,Josef_Pt_T1Q50,jessica,sharon,20,54000,Metridium farcimen,,3,100,,,,,
25-Jul,Josef_Pt,Hi,T2,Q10,Josef_Pt_T2Q10,candice,sarah,80,40000,,,3,100,,,,,
25-Jul,Josef_Pt,Hi,T2,Q30,Josef_Pt_T2Q30,candice,sarah,80,40000,,,3,100,,,,,
25-Jul,Josef_Pt,Hi,T2,Q50,Josef_Pt_T2Q50,candice,sarah,60,48000,Xestospongia hispida,,3,100,,,,,
25-Jul,Josef_Pt,Hi,T3,Q10,Josef_Pt_T3Q10,sharon,candice,80,40000,,,2,100,,,,,
25-Jul,Josef_Pt,Hi,T3,Q30,Josef_Pt_T3Q30,sharon,candice,70,35000,,,2,100,,,,,
25-Jul,Josef_Pt,Hi,T3,Q50,Josef_Pt_T3Q50,sharon,candice,95,142500,Dodecaceria fewksi,,2,100,,,,,
26-Jul,Coffin_Pt,Lo,T1,Q10,Coffin_Pt_T1Q10,sharon,joanne,40,2000,,,3,80,10,20,,,
26-Jul,Coffin_Pt,Lo,T1,Q30,Coffin_Pt_T1Q30,sharon,joanne,50,2500,,,1,80,2,10,10,10,
26-Jul,Coffin_Pt,Lo,T1,Q50,Coffin_Pt_T1Q50,sharon,joanne,40,2000,,,3,70,7,25,11,5,
26-Jul,Vernaci_Pt,Hi,T2,Q10,Vernaci_Pt_T2Q10,jessica,sarah,40,12000,,,3,100,,,,,
26-Jul,Vernaci_Pt,Hi,T2,Q30,Vernaci_Pt_T2Q30,jessica,sarah,30,6000,,,3,100,,,,,
26-Jul,Vernaci_Pt,Hi,T2,Q50,Vernaci_Pt_T2Q50,jessica,sarah,40,8000,,,3,100,,,,,
26-Jul,Vernaci_Pt,Hi,T3,Q10,Vernaci_Pt_T3Q10,candice,joanne,20,1000,,,1,100,,,,,
26-Jul,Vernaci_Pt,Hi,T3,Q30,Vernaci_Pt_T3Q30,candice,joanne,50,15000,,,1,100,,,,,
26-Jul,Vernaci_Pt,Hi,T3,Q50,Vernaci_Pt_T3Q50,candice,joanne,40,6000,,,1,70,3,20,11,10,
27-Jul,Coffin_Pt,Lo,T2,Q10,Coffin_Pt_T2Q10,candice,joanne,30,1500,,,1,50,10,30,2,20,
27-Jul,Coffin_Pt,Lo,T2,Q30,Coffin_Pt_T2Q30,candice,joanne,10,500,,,1,80,2,10,10,10,
27-Jul,Coffin_Pt,Lo,T2,Q50,Coffin_Pt_T2Q50,candice,joanne,20,1000,,,1,60,2,30,10,10,
27-Jul,Coffin_Pt,Lo,T3,Q10,Coffin_Pt_T3Q10,jessica,sarah,60,6000,,,3,100,,,,,
27-Jul,Coffin_Pt,Lo,T3,Q30,Coffin_Pt_T3Q30,jessica,sarah,5,500,,,2,100,,,,,
27-Jul,Coffin_Pt,Lo,T3,Q50,Coffin_Pt_T3Q50,jessica,sarah,5,500,,,3,100,,,,,
27-Jul,Vernaci_Pt,Hi,T1,Q10,Vernaci_Pt_T1Q10,sharon,jessica,60,90500,,,2,100,,,,,
27-Jul,Vernaci_Pt,Hi,T1,Q30,Vernaci_Pt_T1Q30,sharon,jessica,50,56000,Dodecaceria fewksi,,2,100,,,,,
27-Jul,Vernaci_Pt,Hi,T1,Q50,Vernaci_Pt_T1Q50,sharon,jessica,5,14000,,,3,90,11,10,,,
29-Jul,Snake_Is,Lo,T1,Q10,Snake_Is_T1Q10,sarah,sharon,5,500,,,1,100,,,,,
29-Jul,Snake_Is,Lo,T1,Q30,Snake_Is_T1Q30,sarah,sharon,5,500,,,3,95,10,5,,,
29-Jul,Snake_Is,Lo,T1,Q50,Snake_Is_T1Q50,sarah,sharon,5,1000,,,4,90,7,10,,,
29-Jul,Snake_Is,Lo,T2,Q10,Snake_Is_T2Q10,jessica,joanne,5,250,,,1,85,2,10,10,5,
29-Jul,Snake_Is,Lo,T2,Q30,Snake_Is_T2Q30,jessica,joanne,10,500,,,3,90,5,10,,,
29-Jul,Snake_Is,Lo,T2,Q50,Snake_Is_T2Q50,jessica,joanne,10,500,,,3,50,4,40,7,10,
29-Jul,Snake_Is,Lo,T3,Q10,Snake_Is_T3Q10,candice,sarah,5,1000,,,2,100,,,,,
29-Jul,Snake_Is,Lo,T3,Q30,Snake_Is_T3Q30,candice,sarah,5,2000,,,3,90,4,10,,,
29-Jul,Snake_Is,Lo,T3,Q50,Snake_Is_T3Q50,candice,sarah,5,1500,,,3,100,,,,,
7-Aug,Mackenzie_Bight,Lo,T1,Q10,Mackenzie_Bight_T1Q10,sharon,jessica,40,8000,,,2,90,10,10,,,
7-Aug,Mackenzie_Bight,Lo,T1,Q30,Mackenzie_Bight_T1Q30,sharon,jessica,30,3000,,,2,80,10,20,,,
7-Aug,Mackenzie_Bight,Lo,T1,Q50,Mackenzie_Bight_T1Q50,sharon,jessica,30,3000,,,2,90,10,10,,,
7-Aug,Mackenzie_Bight,Lo,T2,Q10,Mackenzie_Bight_T2Q10,sharon,jessica,50,5000,,,2,90,4,10,,,
7-Aug,Mackenzie_Bight,Lo,T2,Q30,Mackenzie_Bight_T2Q30,sharon,jessica,5,250,,,2,100,,,,,
7-Aug,Mackenzie_Bight,Lo,T2,Q50,Mackenzie_Bight_T2Q50,sharon,jessica,15,750,,,1,100,,,,,
7-Aug,Mackenzie_Bight,Lo,T3,Q10,Mackenzie_Bight_T3Q10,sharon,michelle,2,40,,,4,90,5,5,10,5,
7-Aug,Mackenzie_Bight,Lo,T3,Q30,Mackenzie_Bight_T3Q30,sharon,michelle,5,100,,,3,95,10,5,,,
7-Aug,Mackenzie_Bight,Lo,T3,Q50,Mackenzie_Bight_T3Q50,sharon,michelle,25,1250,,,3,100,,,,,
